latitude,longitude,month,"<xarray.DataArray 't' (latitude: 37, longitude: 396)>
array([[28.638367, 28.698883, 28.661224, ..., 29.155853, 29.019714,
        28.941376],
       [28.757416, 28.79776 , 28.750671, ..., 29.406006, 29.260254,
        29.134521],
       [28.831665, 28.846375, 28.845428, ..., 29.588715, 29.46283 ,
        29.382874],
       ...,
       [25.837738, 25.843323, 25.842041, ..., 26.016022, 26.016815,
        26.01889 ],
       [25.79599 , 25.803467, 25.801544, ..., 25.936005, 25.931702,
        25.93637 ],
       [25.74936 , 25.757782, 25.760529, ..., 25.850555, 25.84668 ,
        25.860321]], dtype=float32)
Coordinates:
  * longitude  (longitude) float64 -5.0 -4.75 -4.5 -4.25 ... 2.25 2.5 2.75 3.0
  * latitude   (latitude) float32 12.0 11.75 11.5 11.25 ... 3.75 3.5 3.25 3.0
    month      (longitude) int64 1 1 1 1 1 1 1 1 1 ... 12 12 12 12 12 12 12 12"
12.0,0.25,5,32.514893
12.0,0.5,5,32.515717
12.0,0.75,5,32.552917
12.0,1.0,5,32.54599
12.0,1.25,5,32.53351
12.0,1.5,5,32.51233
12.0,1.75,5,32.53479
12.0,2.0,5,32.617188
12.0,2.25,5,32.70044
12.0,2.5,5,32.875732
12.0,2.75,5,33.038757
12.0,3.0,5,33.13327
12.0,-5.0,6,29.98816
12.0,-4.75,6,29.89273
12.0,-4.5,6,29.943726
12.0,-4.25,6,30.073975
12.0,-4.0,6,30.086182
12.0,-3.75,6,30.051544
12.0,-3.5,6,30.081024
12.0,-3.25,6,30.15747
12.0,-3.0,6,30.179321
12.0,-2.75,6,30.124268
12.0,-2.5,6,30.0401
12.0,-2.25,6,30.047516
12.0,-2.0,6,30.023773
12.0,-1.75,6,30.040192
12.0,-1.5,6,30.06659
12.0,-1.25,6,30.07544
12.0,-1.0,6,30.157867
12.0,-0.75,6,30.120758
12.0,-0.5,6,30.105225
12.0,-0.25,6,30.10083
12.0,0.0,6,30.094574
12.0,0.25,6,30.125061
12.0,0.5,6,30.140717
12.0,0.75,6,30.194763
12.0,1.0,6,30.190277
12.0,1.25,6,30.205444
12.0,1.5,6,30.193726
12.0,1.75,6,30.21576
12.0,2.0,6,30.276154
12.0,2.25,6,30.293152
12.0,2.5,6,30.39624
12.0,2.75,6,30.496185
12.0,3.0,6,30.530579
12.0,-5.0,7,27.708923
12.0,-4.75,7,27.652588
12.0,-4.5,7,27.719025
12.0,-4.25,7,27.823456
12.0,-4.0,7,27.837036
12.0,-3.75,7,27.813202
12.0,-3.5,7,27.832489
12.0,-3.25,7,27.882324
12.0,-3.0,7,27.890076
12.0,-2.75,7,27.846893
12.0,-2.5,7,27.805634
12.0,-2.25,7,27.845612
12.0,-2.0,7,27.829346
12.0,-1.75,7,27.834015
12.0,-1.5,7,27.848358
12.0,-1.25,7,27.840302
12.0,-1.0,7,27.882782
12.0,-0.75,7,27.855194
12.0,-0.5,7,27.868622
12.0,-0.25,7,27.871155
12.0,0.0,7,27.868195
12.0,0.25,7,27.877136
12.0,0.5,7,27.85962
12.0,0.75,7,27.870178
12.0,1.0,7,27.830597
12.0,1.25,7,27.835846
12.0,1.5,7,27.839294
12.0,1.75,7,27.881927
12.0,2.0,7,27.956512
12.0,2.25,7,27.984497
12.0,2.5,7,28.067444
12.0,2.75,7,28.115845
12.0,3.0,7,28.103333
12.0,-5.0,8,26.853638
12.0,-4.75,8,26.81488
12.0,-4.5,8,26.881104
12.0,-4.25,8,26.932892
12.0,-4.0,8,26.91919
12.0,-3.75,8,26.901031
12.0,-3.5,8,26.913727
12.0,-3.25,8,26.926758
12.0,-3.0,8,26.904144
12.0,-2.75,8,26.870789
12.0,-2.5,8,26.851318
12.0,-2.25,8,26.898102
12.0,-2.0,8,26.89383
12.0,-1.75,8,26.902832
12.0,-1.5,8,26.926758
12.0,-1.25,8,26.915375
12.0,-1.0,8,26.92392
12.0,-0.75,8,26.897827
12.0,-0.5,8,26.92508
12.0,-0.25,8,26.924866
12.0,0.0,8,26.903229
12.0,0.25,8,26.891205
12.0,0.5,8,26.859406
12.0,0.75,8,26.843506
12.0,1.0,8,26.774292
12.0,1.25,8,26.741943
12.0,1.5,8,26.733093
12.0,1.75,8,26.76941
12.0,2.0,8,26.81894
12.0,2.25,8,26.848389
12.0,2.5,8,26.942871
12.0,2.75,8,26.993195
12.0,3.0,8,26.995605
12.0,-5.0,9,27.799072
12.0,-4.75,9,27.774261
12.0,-4.5,9,27.859222
12.0,-4.25,9,27.912476
12.0,-4.0,9,27.892792
12.0,-3.75,9,27.884033
12.0,-3.5,9,27.911926
12.0,-3.25,9,27.93219
12.0,-3.0,9,27.893524
12.0,-2.75,9,27.843384
12.0,-2.5,9,27.82956
12.0,-2.25,9,27.878723
12.0,-2.0,9,27.876465
12.0,-1.75,9,27.887115
12.0,-1.5,9,27.903168
12.0,-1.25,9,27.889832
12.0,-1.0,9,27.898773
12.0,-0.75,9,27.87033
12.0,-0.5,9,27.90155
12.0,-0.25,9,27.912994
12.0,0.0,9,27.9039
12.0,0.25,9,27.897064
12.0,0.5,9,27.861176
12.0,0.75,9,27.843567
12.0,1.0,9,27.778595
12.0,1.25,9,27.760101
12.0,1.5,9,27.773804
12.0,1.75,9,27.824066
12.0,2.0,9,27.887665
12.0,2.25,9,27.927338
12.0,2.5,9,28.018158
12.0,2.75,9,28.064117
12.0,3.0,9,28.061066
12.0,-5.0,10,30.03717
12.0,-4.75,10,29.968079
12.0,-4.5,10,30.092041
12.0,-4.25,10,30.276886
12.0,-4.0,10,30.260712
12.0,-3.75,10,30.233246
12.0,-3.5,10,30.328522
12.0,-3.25,10,30.467133
12.0,-3.0,10,30.488922
12.0,-2.75,10,30.379883
12.0,-2.5,10,30.298157
12.0,-2.25,10,30.340881
12.0,-2.0,10,30.34262
12.0,-1.75,10,30.35022
12.0,-1.5,10,30.327301
12.0,-1.25,10,30.328735
12.0,-1.0,10,30.392487
12.0,-0.75,10,30.30664
12.0,-0.5,10,30.2984
12.0,-0.25,10,30.353973
12.0,0.0,10,30.437714
12.0,0.25,10,30.527863
12.0,0.5,10,30.541107
12.0,0.75,10,30.588531
12.0,1.0,10,30.568481
12.0,1.25,10,30.569061
12.0,1.5,10,30.58075
12.0,1.75,10,30.648407
12.0,2.0,10,30.793152
12.0,2.25,10,30.870178
12.0,2.5,10,30.975342
12.0,2.75,10,31.015198
12.0,3.0,10,30.951447
12.0,-5.0,11,31.737213
12.0,-4.75,11,31.778503
12.0,-4.5,11,31.88678
12.0,-4.25,11,31.878815
12.0,-4.0,11,31.799622
12.0,-3.75,11,31.880829
12.0,-3.5,11,32.040863
12.0,-3.25,11,32.112823
12.0,-3.0,11,32.00122
12.0,-2.75,11,31.938538
12.0,-2.5,11,31.990753
12.0,-2.25,11,32.064514
12.0,-2.0,11,32.06714
12.0,-1.75,11,32.02957
12.0,-1.5,11,31.979553
12.0,-1.25,11,31.950165
12.0,-1.0,11,32.00479
12.0,-0.75,11,32.001038
12.0,-0.5,11,32.03122
12.0,-0.25,11,32.079224
12.0,0.0,11,32.141937
12.0,0.25,11,32.245697
12.0,0.5,11,32.281708
12.0,0.75,11,32.33185
12.0,1.0,11,32.34146
12.0,1.25,11,32.344208
12.0,1.5,11,32.335358
12.0,1.75,11,32.332092
12.0,2.0,11,32.363434
12.0,2.25,11,32.312256
12.0,2.5,11,32.22574
12.0,2.75,11,32.092163
12.0,3.0,11,31.968597
12.0,-5.0,12,29.421875
12.0,-4.75,12,29.507568
12.0,-4.5,12,29.518219
12.0,-4.25,12,29.319916
12.0,-4.0,12,29.181488
12.0,-3.75,12,29.287018
12.0,-3.5,12,29.422516
12.0,-3.25,12,29.406433
12.0,-3.0,12,29.23648
12.0,-2.75,12,29.232117
12.0,-2.5,12,29.351349
12.0,-2.25,12,29.397919
12.0,-2.0,12,29.365387
12.0,-1.75,12,29.275085
12.0,-1.5,12,29.191101
12.0,-1.25,12,29.176025
12.0,-1.0,12,29.242157
12.0,-0.75,12,29.249939
12.0,-0.5,12,29.240509
12.0,-0.25,12,29.245422
12.0,0.0,12,29.28424
12.0,0.25,12,29.368195
12.0,0.5,12,29.407715
12.0,0.75,12,29.462372
12.0,1.0,12,29.493134
12.0,1.25,12,29.482086
12.0,1.5,12,29.42984
12.0,1.75,12,29.394165
12.0,2.0,12,29.384735
12.0,2.25,12,29.289856
12.0,2.5,12,29.155853
12.0,2.75,12,29.019714
12.0,3.0,12,28.941376
11.75,-5.0,1,28.757416
11.75,-4.75,1,28.79776
11.75,-4.5,1,28.750671
11.75,-4.25,1,28.597443
11.75,-4.0,1,28.591919
11.75,-3.75,1,28.749176
11.75,-3.5,1,28.817535
11.75,-3.25,1,28.732574
11.75,-3.0,1,28.549774
11.75,-2.75,1,28.60318
11.75,-2.5,1,28.788727
11.75,-2.25,1,28.824677
11.75,-2.0,1,28.744904
11.75,-1.75,1,28.627106
11.75,-1.5,1,28.53659
11.75,-1.25,1,28.497223
11.75,-1.0,1,28.522339
11.75,-0.75,1,28.53363
11.75,-0.5,1,28.584167
11.75,-0.25,1,28.61499
11.75,0.0,1,28.59253
11.75,0.25,1,28.64328
11.75,0.5,1,28.691956
11.75,0.75,1,28.71286
11.75,1.0,1,28.705078
11.75,1.25,1,28.70514
11.75,1.5,1,28.688293
11.75,1.75,1,28.658173
11.75,2.0,1,28.652863
11.75,2.25,1,28.59079
11.75,2.5,1,28.48819
11.75,2.75,1,28.36676
11.75,3.0,1,28.271423
11.75,-5.0,2,31.454926
11.75,-4.75,2,31.47403
11.75,-4.5,2,31.429352
11.75,-4.25,2,31.292664
11.75,-4.0,2,31.293427
11.75,-3.75,2,31.413605
11.75,-3.5,2,31.454834
11.75,-3.25,2,31.382843
11.75,-3.0,2,31.2193
11.75,-2.75,2,31.285492
11.75,-2.5,2,31.460419
11.75,-2.25,2,31.50064
11.75,-2.0,2,31.434937
11.75,-1.75,2,31.33139
11.75,-1.5,2,31.257385
11.75,-1.25,2,31.214813
11.75,-1.0,2,31.24057
11.75,-0.75,2,31.242096
11.75,-0.5,2,31.279144
11.75,-0.25,2,31.290283
11.75,0.0,2,31.25418
11.75,0.25,2,31.30304
11.75,0.5,2,31.338379
11.75,0.75,2,31.365509
11.75,1.0,2,31.368164
11.75,1.25,2,31.380371
11.75,1.5,2,31.375916
11.75,1.75,2,31.347229
11.75,2.0,2,31.353394
11.75,2.25,2,31.308167
11.75,2.5,2,31.232574
11.75,2.75,2,31.134735
11.75,3.0,2,31.057587
11.75,-5.0,3,33.809357
11.75,-4.75,3,33.8266
11.75,-4.5,3,33.86139
11.75,-4.25,3,33.839905
11.75,-4.0,3,33.86734
11.75,-3.75,3,33.947205
11.75,-3.5,3,34.006805
11.75,-3.25,3,34.03589
11.75,-3.0,3,33.953766
11.75,-2.75,3,33.9805
11.75,-2.5,3,34.074554
11.75,-2.25,3,34.130432
11.75,-2.0,3,34.13611
11.75,-1.75,3,34.10855
11.75,-1.5,3,34.089752
11.75,-1.25,3,34.06311
11.75,-1.0,3,34.09192
11.75,-0.75,3,34.07965
11.75,-0.5,3,34.09961
11.75,-0.25,3,34.1167
11.75,0.0,3,34.10855
11.75,0.25,3,34.162933
11.75,0.5,3,34.186035
11.75,0.75,3,34.22116
11.75,1.0,3,34.226227
11.75,1.25,3,34.243988
11.75,1.5,3,34.2565
11.75,1.75,3,34.268707
11.75,2.0,3,34.33307
11.75,2.25,3,34.352173
11.75,2.5,3,34.36667
11.75,2.75,3,34.343597
11.75,3.0,3,34.31247
11.75,-5.0,4,33.8869
11.75,-4.75,4,33.8609
11.75,-4.5,4,33.90103
11.75,-4.25,4,33.946686
11.75,-4.0,4,33.962616
11.75,-3.75,4,33.9693
11.75,-3.5,4,34.033386
11.75,-3.25,4,34.156982
11.75,-3.0,4,34.1481
11.75,-2.75,4,34.10794
11.75,-2.5,4,34.0766
11.75,-2.25,4,34.100647
11.75,-2.0,4,34.155
11.75,-1.75,4,34.204437
11.75,-1.5,4,34.25006
11.75,-1.25,4,34.25708
11.75,-1.0,4,34.285675
11.75,-0.75,4,34.227356
11.75,-0.5,4,34.192413
11.75,-0.25,4,34.18628
11.75,0.0,4,34.184204
11.75,0.25,4,34.24115
11.75,0.5,4,34.267273
11.75,0.75,4,34.310974
11.75,1.0,4,34.306793
11.75,1.25,4,34.29477
11.75,1.5,4,34.297363
11.75,1.75,4,34.36505
11.75,2.0,4,34.502625
11.75,2.25,4,34.61435
11.75,2.5,4,34.787537
11.75,2.75,4,34.924683
11.75,3.0,4,35.010468
11.75,-5.0,5,32.05728
11.75,-4.75,5,32.002014
11.75,-4.5,5,32.038605
11.75,-4.25,5,32.10965
11.75,-4.0,5,32.088165
11.75,-3.75,5,32.04956
11.75,-3.5,5,32.085144
11.75,-3.25,5,32.197083
11.75,-3.0,5,32.207092
11.75,-2.75,5,32.166107
11.75,-2.5,5,32.089508
11.75,-2.25,5,32.075073
11.75,-2.0,5,32.10965
11.75,-1.75,5,32.14923
11.75,-1.5,5,32.192596
11.75,-1.25,5,32.211334
11.75,-1.0,5,32.26779
11.75,-0.75,5,32.204987
11.75,-0.5,5,32.14273
11.75,-0.25,5,32.114227
11.75,0.0,5,32.088715
11.75,0.25,5,32.133057
11.75,0.5,5,32.152008
11.75,0.75,5,32.185883
11.75,1.0,5,32.178528
11.75,1.25,5,32.1604
11.75,1.5,5,32.125824
11.75,1.75,5,32.141724
11.75,2.0,5,32.21521
11.75,2.25,5,32.261322
11.75,2.5,5,32.415863
11.75,2.75,5,32.564606
11.75,3.0,5,32.663086
11.75,-5.0,6,29.786407
11.75,-4.75,6,29.72754
11.75,-4.5,6,29.76059
11.75,-4.25,6,29.824066
11.75,-4.0,6,29.800446
11.75,-3.75,6,29.771057
11.75,-3.5,6,29.807861
11.75,-3.25,6,29.878479
11.75,-3.0,6,29.881622
11.75,-2.75,6,29.858032
11.75,-2.5,6,29.766785
11.75,-2.25,6,29.727203
11.75,-2.0,6,29.721924
11.75,-1.75,6,29.731903
11.75,-1.5,6,29.736877
11.75,-1.25,6,29.741974
11.75,-1.0,6,29.821747
11.75,-0.75,6,29.783997
11.75,-0.5,6,29.760498
11.75,-0.25,6,29.759827
11.75,0.0,6,29.763763
11.75,0.25,6,29.825348
11.75,0.5,6,29.857178
11.75,0.75,6,29.903534
11.75,1.0,6,29.91391
11.75,1.25,6,29.932678
11.75,1.5,6,29.910309
11.75,1.75,6,29.926727
11.75,2.0,6,29.964996
11.75,2.25,6,29.941559
11.75,2.5,6,30.03363
11.75,2.75,6,30.115082
11.75,3.0,6,30.14267
11.75,-5.0,7,27.605164
11.75,-4.75,7,27.577698
11.75,-4.5,7,27.610596
11.75,-4.25,7,27.664124
11.75,-4.0,7,27.657074
11.75,-3.75,7,27.632355
11.75,-3.5,7,27.655243
11.75,-3.25,7,27.698578
11.75,-3.0,7,27.692352
11.75,-2.75,7,27.676483
11.75,-2.5,7,27.61914
11.75,-2.25,7,27.605988
11.75,-2.0,7,27.601624
11.75,-1.75,7,27.592865
11.75,-1.5,7,27.57315
11.75,-1.25,7,27.56482
11.75,-1.0,7,27.61908
11.75,-0.75,7,27.581604
11.75,-0.5,7,27.565765
11.75,-0.25,7,27.569824
11.75,0.0,7,27.584167
11.75,0.25,7,27.620758
11.75,0.5,7,27.61493
11.75,0.75,7,27.625427
11.75,1.0,7,27.607758
11.75,1.25,7,27.619537
11.75,1.5,7,27.622498
11.75,1.75,7,27.672302
11.75,2.0,7,27.732544
11.75,2.25,7,27.729156
11.75,2.5,7,27.812714
11.75,2.75,7,27.8609
11.75,3.0,7,27.847504
11.75,-5.0,8,26.791504
11.75,-4.75,8,26.765839
11.75,-4.5,8,26.788055
11.75,-4.25,8,26.8078
11.75,-4.0,8,26.795715
11.75,-3.75,8,26.769714
11.75,-3.5,8,26.771759
11.75,-3.25,8,26.788055
11.75,-3.0,8,26.764404
11.75,-2.75,8,26.748505
11.75,-2.5,8,26.706512
11.75,-2.25,8,26.706879
11.75,-2.0,8,26.716644
11.75,-1.75,8,26.70874
11.75,-1.5,8,26.700378
11.75,-1.25,8,26.698975
11.75,-1.0,8,26.727875
11.75,-0.75,8,26.694366
11.75,-0.5,8,26.67929
11.75,-0.25,8,26.673248
11.75,0.0,8,26.675934
11.75,0.25,8,26.684784
11.75,0.5,8,26.657806
11.75,0.75,8,26.636932
11.75,1.0,8,26.582245
11.75,1.25,8,26.561523
11.75,1.5,8,26.55841
11.75,1.75,8,26.60382
11.75,2.0,8,26.651764
11.75,2.25,8,26.67688
11.75,2.5,8,26.782837
11.75,2.75,8,26.827057
11.75,3.0,8,26.833405
11.75,-5.0,9,27.714996
11.75,-4.75,9,27.689789
11.75,-4.5,9,27.722992
11.75,-4.25,9,27.746338
11.75,-4.0,9,27.73825
11.75,-3.75,9,27.730408
11.75,-3.5,9,27.737396
11.75,-3.25,9,27.751099
11.75,-3.0,9,27.718506
11.75,-2.75,9,27.680695
11.75,-2.5,9,27.638885
11.75,-2.25,9,27.650116
11.75,-2.0,9,27.663574
11.75,-1.75,9,27.64801
11.75,-1.5,9,27.628479
11.75,-1.25,9,27.634125
11.75,-1.0,9,27.662903
11.75,-0.75,9,27.625153
11.75,-0.5,9,27.615234
11.75,-0.25,9,27.620453
11.75,0.0,9,27.635529
11.75,0.25,9,27.641174
11.75,0.5,9,27.60788
11.75,0.75,9,27.584442
11.75,1.0,9,27.534058
11.75,1.25,9,27.52591
11.75,1.5,9,27.538727
11.75,1.75,9,27.608215
11.75,2.0,9,27.67096
11.75,2.25,9,27.700836
11.75,2.5,9,27.807404
11.75,2.75,9,27.838898
11.75,3.0,9,27.839203
11.75,-5.0,10,29.852997
11.75,-4.75,10,29.809143
11.75,-4.5,10,29.872528
11.75,-4.25,10,29.97525
11.75,-4.0,10,29.967041
11.75,-3.75,10,29.991669
11.75,-3.5,10,30.105377
11.75,-3.25,10,30.199768
11.75,-3.0,10,30.204071
11.75,-2.75,10,30.142517
11.75,-2.5,10,30.057892
11.75,-2.25,10,30.072357
11.75,-2.0,10,30.076324
11.75,-1.75,10,30.06607
11.75,-1.5,10,30.021362
11.75,-1.25,10,30.000366
11.75,-1.0,10,30.053375
11.75,-0.75,10,29.97464
11.75,-0.5,10,29.952728
11.75,-0.25,10,30.001099
11.75,0.0,10,30.080444
11.75,0.25,10,30.166138
11.75,0.5,10,30.175934
11.75,0.75,10,30.20108
11.75,1.0,10,30.171234
11.75,1.25,10,30.168762
11.75,1.5,10,30.19345
11.75,1.75,10,30.321594
11.75,2.0,10,30.473724
11.75,2.25,10,30.505219
11.75,2.5,10,30.629852
11.75,2.75,10,30.679352
11.75,3.0,10,30.627563
11.75,-5.0,11,31.576416
11.75,-4.75,11,31.61438
11.75,-4.5,11,31.69107
11.75,-4.25,11,31.691467
11.75,-4.0,11,31.698334
11.75,-3.75,11,31.853699
11.75,-3.5,11,32.014587
11.75,-3.25,11,32.055817
11.75,-3.0,11,31.950012
11.75,-2.75,11,31.93277
11.75,-2.5,11,32.00525
11.75,-2.25,11,32.07016
11.75,-2.0,11,32.0567
11.75,-1.75,11,32.006317
11.75,-1.5,11,31.96106
11.75,-1.25,11,31.913483
11.75,-1.0,11,31.91983
11.75,-0.75,11,31.882935
11.75,-0.5,11,31.918884
11.75,-0.25,11,31.991364
11.75,0.0,11,32.05191
11.75,0.25,11,32.142242
11.75,0.5,11,32.17282
11.75,0.75,11,32.190186
11.75,1.0,11,32.157745
11.75,1.25,11,32.16739
11.75,1.5,11,32.19644
11.75,1.75,11,32.231476
11.75,2.0,11,32.300354
11.75,2.25,11,32.27417
11.75,2.5,11,32.22354
11.75,2.75,11,32.109985
11.75,3.0,11,31.97232
11.75,-5.0,12,29.455475
11.75,-4.75,12,29.523712
11.75,-4.5,12,29.52243
11.75,-4.25,12,29.391296
11.75,-4.0,12,29.377808
11.75,-3.75,12,29.553864
11.75,-3.5,12,29.660645
11.75,-3.25,12,29.597809
11.75,-3.0,12,29.430298
11.75,-2.75,12,29.48471
11.75,-2.5,12,29.660889
11.75,-2.25,12,29.70758
11.75,-2.0,12,29.636475
11.75,-1.75,12,29.52243
11.75,-1.5,12,29.439392
11.75,-1.25,12,29.3862
11.75,-1.0,12,29.386993
11.75,-0.75,12,29.382385
11.75,-0.5,12,29.434143
11.75,-0.25,12,29.492981
11.75,0.0,12,29.517242
11.75,0.25,12,29.597748
11.75,0.5,12,29.649963
11.75,0.75,12,29.665588
11.75,1.0,12,29.64273
11.75,1.25,12,29.637024
11.75,1.5,12,29.625824
11.75,1.75,12,29.603394
11.75,2.0,12,29.605621
11.75,2.25,12,29.529846
11.75,2.5,12,29.406006
11.75,2.75,12,29.260254
11.75,3.0,12,29.134521
11.5,-5.0,1,28.831665
11.5,-4.75,1,28.846375
11.5,-4.5,1,28.845428
11.5,-4.25,1,28.822235
11.5,-4.0,1,28.894073
11.5,-3.75,1,29.016815
11.5,-3.5,1,29.031067
11.5,-3.25,1,28.956299
11.5,-3.0,1,28.8302
11.5,-2.75,1,28.905426
11.5,-2.5,1,29.085205
11.5,-2.25,1,29.106232
11.5,-2.0,1,29.015106
11.5,-1.75,1,28.91452
11.5,-1.5,1,28.844269
11.5,-1.25,1,28.79007
11.5,-1.0,1,28.77002
11.5,-0.75,1,28.762756
11.5,-0.5,1,28.841644
11.5,-0.25,1,28.906494
11.5,0.0,1,28.886078
11.5,0.25,1,28.908081
11.5,0.5,1,28.93988
11.5,0.75,1,28.955475
11.5,1.0,1,28.915192
11.5,1.25,1,28.892578
11.5,1.5,1,28.896484
11.5,1.75,1,28.868225
11.5,2.0,1,28.857025
11.5,2.25,1,28.816254
11.5,2.5,1,28.717468
11.5,2.75,1,28.606476
11.5,3.0,1,28.550201
11.5,-5.0,2,31.510712
11.5,-4.75,2,31.509521
11.5,-4.5,2,31.499725
11.5,-4.25,2,31.462769
11.5,-4.0,2,31.510712
11.5,-3.75,2,31.598602
11.5,-3.5,2,31.599304
11.5,-3.25,2,31.54477
11.5,-3.0,2,31.438873
11.5,-2.75,2,31.523407
11.5,-2.5,2,31.685028
