latitude,longitude,month,"<xarray.DataArray 'r' (latitude: 37, longitude: 396)>
array([[18.793911, 18.965187, 18.398207, ..., 18.866547, 19.271273,
        19.565584],
       [19.580229, 19.425623, 18.646044, ..., 19.15216 , 19.430243,
        20.180214],
       [20.414602, 20.024244, 19.166777, ..., 19.472445, 19.84692 ,
        20.669466],
       ...,
       [81.886925, 81.877304, 81.90431 , ..., 81.76664 , 81.68621 ,
        81.81145 ],
       [81.978676, 82.01549 , 82.00904 , ..., 82.13626 , 82.082504,
        82.08208 ],
       [82.132286, 82.07965 , 82.11814 , ..., 82.34556 , 82.47815 ,
        82.37552 ]], dtype=float32)
Coordinates:
  * longitude  (longitude) float64 -5.0 -4.75 -4.5 -4.25 ... 2.25 2.5 2.75 3.0
  * latitude   (latitude) float32 12.0 11.75 11.5 11.25 ... 3.75 3.5 3.25 3.0
    month      (longitude) int64 1 1 1 1 1 1 1 1 1 ... 12 12 12 12 12 12 12 12"
12.0,-1.5,2,14.852513
12.0,-1.25,2,14.351651
12.0,-1.0,2,13.646477
12.0,-0.75,2,13.575708
12.0,-0.5,2,13.501584
12.0,-0.25,2,13.423983
12.0,0.0,2,13.683019
12.0,0.25,2,13.763566
12.0,0.5,2,13.751575
12.0,0.75,2,13.244825
12.0,1.0,2,12.796288
12.0,1.25,2,12.676322
12.0,1.5,2,12.76946
12.0,1.75,2,12.866899
12.0,2.0,2,12.833839
12.0,2.25,2,12.901698
12.0,2.5,2,12.908406
12.0,2.75,2,12.943648
12.0,3.0,2,12.882622
12.0,-5.0,3,21.10927
12.0,-4.75,3,21.295008
12.0,-4.5,3,21.035368
12.0,-4.25,3,20.20074
12.0,-4.0,3,20.363857
12.0,-3.75,3,20.404099
12.0,-3.5,3,20.326431
12.0,-3.25,3,19.653656
12.0,-3.0,3,20.092764
12.0,-2.75,3,20.685757
12.0,-2.5,3,19.936075
12.0,-2.25,3,19.54233
12.0,-2.0,3,19.316412
12.0,-1.75,3,19.189426
12.0,-1.5,3,19.270102
12.0,-1.25,3,18.942444
12.0,-1.0,3,18.331356
12.0,-0.75,3,18.344107
12.0,-0.5,3,18.225313
12.0,-0.25,3,18.100983
12.0,0.0,3,18.1218
12.0,0.25,3,17.970707
12.0,0.5,3,18.08735
12.0,0.75,3,17.6533
12.0,1.0,3,17.375944
12.0,1.25,3,17.261612
12.0,1.5,3,17.199669
12.0,1.75,3,17.125828
12.0,2.0,3,16.603104
12.0,2.25,3,16.341694
12.0,2.5,3,16.045517
12.0,2.75,3,15.760158
12.0,3.0,3,15.70992
12.0,-5.0,4,39.065258
12.0,-4.75,4,39.506767
12.0,-4.5,4,39.521675
12.0,-4.25,4,38.054993
12.0,-4.0,4,37.9123
12.0,-3.75,4,38.379223
12.0,-3.5,4,38.30982
12.0,-3.25,4,37.19239
12.0,-3.0,4,37.075054
12.0,-2.75,4,37.955013
12.0,-2.5,4,37.92011
12.0,-2.25,4,37.648777
12.0,-2.0,4,37.465572
12.0,-1.75,4,37.06898
12.0,-1.5,4,36.942936
12.0,-1.25,4,36.658283
12.0,-1.0,4,35.9612
12.0,-0.75,4,36.178867
12.0,-0.5,4,36.310024
12.0,-0.25,4,36.402996
12.0,0.0,4,36.449604
12.0,0.25,4,36.3491
12.0,0.5,4,36.683907
12.0,0.75,4,36.264664
12.0,1.0,4,36.10553
12.0,1.25,4,35.98411
12.0,1.5,4,35.910336
12.0,1.75,4,35.638107
12.0,2.0,4,34.55026
12.0,2.25,4,33.803078
12.0,2.5,4,32.69992
12.0,2.75,4,31.567095
12.0,3.0,4,30.940952
12.0,-5.0,5,55.93181
12.0,-4.75,5,57.031525
12.0,-4.5,5,57.177498
12.0,-4.25,5,54.7745
12.0,-4.0,5,54.38443
12.0,-3.75,5,55.167114
12.0,-3.5,5,55.167324
12.0,-3.25,5,53.974144
12.0,-3.0,5,53.44056
12.0,-2.75,5,54.115704
12.0,-2.5,5,54.2334
12.0,-2.25,5,54.125355
12.0,-2.0,5,54.25981
12.0,-1.75,5,53.835392
12.0,-1.5,5,53.52668
12.0,-1.25,5,53.238537
12.0,-1.0,5,52.553864
12.0,-0.75,5,52.769176
12.0,-0.5,5,53.0684
12.0,-0.25,5,53.416424
12.0,0.0,5,53.65566
12.0,0.25,5,53.924915
12.0,0.5,5,54.275887
12.0,0.75,5,53.81232
12.0,1.0,5,53.687065
12.0,1.25,5,53.506428
12.0,1.5,5,53.942207
12.0,1.75,5,54.184868
12.0,2.0,5,53.477173
12.0,2.25,5,53.11667
12.0,2.5,5,52.084473
12.0,2.75,5,50.862015
12.0,3.0,5,50.12732
12.0,-5.0,6,68.039085
12.0,-4.75,6,69.24807
12.0,-4.5,6,69.42858
12.0,-4.25,6,66.91029
12.0,-4.0,6,66.46161
12.0,-3.75,6,67.162865
12.0,-3.5,6,66.96354
12.0,-3.25,6,65.97457
12.0,-3.0,6,65.291794
12.0,-2.75,6,65.55426
12.0,-2.5,6,65.54032
12.0,-2.25,6,65.71986
12.0,-2.0,6,66.36455
12.0,-1.75,6,65.90397
12.0,-1.5,6,65.710495
12.0,-1.25,6,65.43661
12.0,-1.0,6,64.50402
12.0,-0.75,6,64.256386
12.0,-0.5,6,64.11264
12.0,-0.25,6,64.52545
12.0,0.0,6,64.70083
12.0,0.25,6,65.06305
12.0,0.5,6,65.27909
12.0,0.75,6,64.5994
12.0,1.0,6,64.371475
12.0,1.25,6,63.85456
12.0,1.5,6,64.28036
12.0,1.75,6,64.61874
12.0,2.0,6,64.14726
12.0,2.25,6,64.311485
12.0,2.5,6,63.859467
12.0,2.75,6,62.969612
12.0,3.0,6,62.694145
12.0,-5.0,7,78.71222
12.0,-4.75,7,79.52157
12.0,-4.5,7,79.661415
12.0,-4.25,7,77.64254
12.0,-4.0,7,76.990654
12.0,-3.75,7,77.60812
12.0,-3.5,7,77.626854
12.0,-3.25,7,76.86069
12.0,-3.0,7,76.30636
12.0,-2.75,7,76.38649
12.0,-2.5,7,75.822174
12.0,-2.25,7,75.70694
12.0,-2.0,7,76.39883
12.0,-1.75,7,75.962975
12.0,-1.5,7,75.75833
12.0,-1.25,7,75.53677
12.0,-1.0,7,74.93152
12.0,-0.75,7,74.45834
12.0,-0.5,7,73.90387
12.0,-0.25,7,74.34582
12.0,0.0,7,74.4661
12.0,0.25,7,74.94865
12.0,0.5,7,75.39555
12.0,0.75,7,74.99337
12.0,1.0,7,74.99843
12.0,1.25,7,74.41008
12.0,1.5,7,74.55204
12.0,1.75,7,74.646164
12.0,2.0,7,74.111435
12.0,2.25,7,74.17357
12.0,2.5,7,73.929306
12.0,2.75,7,73.62911
12.0,3.0,7,73.699425
12.0,-5.0,8,83.47355
12.0,-4.75,8,84.01095
12.0,-4.5,8,84.1172
12.0,-4.25,8,82.772736
12.0,-4.0,8,82.29108
12.0,-3.75,8,82.87081
12.0,-3.5,8,83.03666
12.0,-3.25,8,82.75543
12.0,-3.0,8,82.47979
12.0,-2.75,8,82.364494
12.0,-2.5,8,81.74199
12.0,-2.25,8,81.59181
12.0,-2.0,8,82.15988
12.0,-1.75,8,81.76544
12.0,-1.5,8,81.45192
12.0,-1.25,8,81.304756
12.0,-1.0,8,81.09961
12.0,-0.75,8,80.51189
12.0,-0.5,8,79.71879
12.0,-0.25,8,80.20927
12.0,0.0,8,80.59352
12.0,0.25,8,81.411064
12.0,0.5,8,81.93149
12.0,0.75,8,81.61745
12.0,1.0,8,81.89232
12.0,1.25,8,81.679665
12.0,1.5,8,81.90749
12.0,1.75,8,81.955185
12.0,2.0,8,81.62083
12.0,2.25,8,81.57176
12.0,2.5,8,81.04726
12.0,2.75,8,80.759155
12.0,3.0,8,80.6658
12.0,-5.0,9,81.90819
12.0,-4.75,9,82.51576
12.0,-4.5,9,82.3919
12.0,-4.25,9,80.85907
12.0,-4.0,9,80.57017
12.0,-3.75,9,81.315704
12.0,-3.5,9,81.344635
12.0,-3.25,9,80.869156
12.0,-3.0,9,80.55005
12.0,-2.75,9,80.50119
12.0,-2.5,9,79.79571
12.0,-2.25,9,79.66746
12.0,-2.0,9,80.38939
12.0,-1.75,9,79.84318
12.0,-1.5,9,79.503494
12.0,-1.25,9,79.31071
12.0,-1.0,9,79.007835
12.0,-0.75,9,78.37755
12.0,-0.5,9,77.464424
12.0,-0.25,9,77.97833
12.0,0.0,9,78.351265
12.0,0.25,9,79.51115
12.0,0.5,9,80.21224
12.0,0.75,9,79.732475
12.0,1.0,9,80.0175
12.0,1.25,9,79.57501
12.0,1.5,9,79.83126
12.0,1.75,9,79.94701
12.0,2.0,9,79.529175
12.0,2.25,9,79.627464
12.0,2.5,9,79.03302
12.0,2.75,9,78.548935
12.0,3.0,9,78.335
12.0,-5.0,10,67.9108
12.0,-4.75,10,69.85636
12.0,-4.5,10,69.20241
12.0,-4.25,10,64.895294
12.0,-4.0,10,64.90084
12.0,-3.75,10,66.20194
12.0,-3.5,10,65.37264
12.0,-3.25,10,63.167736
12.0,-3.0,10,61.81032
12.0,-2.75,10,62.877262
12.0,-2.5,10,63.44185
12.0,-2.25,10,63.234
12.0,-2.0,10,63.933605
12.0,-1.75,10,63.38351
12.0,-1.5,10,63.539494
12.0,-1.25,10,63.07251
12.0,-1.0,10,61.470493
12.0,-0.75,10,61.88748
12.0,-0.5,10,61.74503
12.0,-0.25,10,61.52466
12.0,0.0,10,60.76342
12.0,0.25,10,60.89266
12.0,0.5,10,61.292004
12.0,0.75,10,59.934784
12.0,1.0,10,59.731777
12.0,1.25,10,59.062943
12.0,1.5,10,59.82902
12.0,1.75,10,60.048164
12.0,2.0,10,58.321213
12.0,2.25,10,58.26072
12.0,2.5,10,57.23412
12.0,2.75,10,56.231823
12.0,3.0,10,56.83513
12.0,-5.0,11,34.499676
12.0,-4.75,11,35.57329
12.0,-4.5,11,33.555332
12.0,-4.25,11,30.63389
12.0,-4.0,11,32.308052
12.0,-3.75,11,32.86971
12.0,-3.5,11,31.458805
12.0,-3.25,11,29.546427
12.0,-3.0,11,30.373714
12.0,-2.75,11,32.101837
12.0,-2.5,11,31.369242
12.0,-2.25,11,30.97319
12.0,-2.0,11,31.072876
12.0,-1.75,11,30.723928
12.0,-1.5,11,30.79416
12.0,-1.25,11,30.299494
12.0,-1.0,11,29.053944
12.0,-0.75,11,28.729265
12.0,-0.5,11,28.352036
12.0,-0.25,11,27.96265
12.0,0.0,11,27.358402
12.0,0.25,11,27.071463
12.0,0.5,11,27.102432
12.0,0.75,11,26.0716
12.0,1.0,11,25.746061
12.0,1.25,11,25.622873
12.0,1.5,11,26.309565
12.0,1.75,11,26.546997
12.0,2.0,11,25.594055
12.0,2.25,11,25.878334
12.0,2.5,11,25.823824
12.0,2.75,11,26.079288
12.0,3.0,11,27.173807
12.0,-5.0,12,22.261337
12.0,-4.75,12,22.546757
12.0,-4.5,12,21.451477
12.0,-4.25,12,20.62875
12.0,-4.0,12,21.825514
12.0,-3.75,12,21.801128
12.0,-3.5,12,21.347841
12.0,-3.25,12,20.585848
12.0,-3.0,12,22.042192
12.0,-2.75,12,22.865776
12.0,-2.5,12,21.134232
12.0,-2.25,12,20.981936
12.0,-2.0,12,21.13461
12.0,-1.75,12,21.211393
12.0,-1.5,12,21.559675
12.0,-1.25,12,21.048847
12.0,-1.0,12,20.148575
12.0,-0.75,12,19.634739
12.0,-0.5,12,19.392027
12.0,-0.25,12,19.386583
12.0,0.0,12,19.166874
12.0,0.25,12,19.114197
12.0,0.5,12,19.2533
12.0,0.75,12,18.524244
12.0,1.0,12,18.062166
12.0,1.25,12,17.932714
12.0,1.5,12,18.254482
12.0,1.75,12,18.476187
12.0,2.0,12,18.291845
12.0,2.25,12,18.606882
12.0,2.5,12,18.866547
12.0,2.75,12,19.271273
12.0,3.0,12,19.565584
11.75,-5.0,1,19.580229
11.75,-4.75,1,19.425623
11.75,-4.5,1,18.646044
11.75,-4.25,1,18.256666
11.75,-4.0,1,18.66816
11.75,-3.75,1,18.181435
11.75,-3.5,1,17.880001
11.75,-3.25,1,17.397427
11.75,-3.0,1,18.878471
11.75,-2.75,1,19.094297
11.75,-2.5,1,17.314474
11.75,-2.25,1,17.387302
11.75,-2.0,1,17.636784
11.75,-1.75,1,17.745897
11.75,-1.5,1,18.001774
11.75,-1.25,1,17.664816
11.75,-1.0,1,17.40113
11.75,-0.75,1,17.477879
11.75,-0.5,1,16.380672
11.75,-0.25,1,15.729978
11.75,0.0,1,16.11863
11.75,0.25,1,15.958644
11.75,0.5,1,15.8231125
11.75,0.75,1,15.32766
11.75,1.0,1,15.218925
11.75,1.25,1,15.188774
11.75,1.5,1,15.318643
11.75,1.75,1,15.62925
11.75,2.0,1,15.376442
11.75,2.25,1,15.717924
11.75,2.5,1,16.04523
11.75,2.75,1,16.158648
11.75,3.0,1,16.47273
11.75,-5.0,2,16.400473
11.75,-4.75,2,16.28266
11.75,-4.5,2,15.807132
11.75,-4.25,2,15.509089
11.75,-4.0,2,15.760536
11.75,-3.75,2,15.515961
11.75,-3.5,2,15.370936
11.75,-3.25,2,14.996143
11.75,-3.0,2,16.061745
11.75,-2.75,2,16.097115
11.75,-2.5,2,14.747831
11.75,-2.25,2,14.779689
11.75,-2.0,2,14.940399
11.75,-1.75,2,15.000918
11.75,-1.5,2,15.133446
11.75,-1.25,2,14.850588
11.75,-1.0,2,14.595597
11.75,-0.75,2,14.737357
11.75,-0.5,2,13.863944
11.75,-0.25,2,13.385289
11.75,0.0,2,13.766221
11.75,0.25,2,13.539073
11.75,0.5,2,13.461661
11.75,0.75,2,13.04185
11.75,1.0,2,12.9052105
11.75,1.25,2,12.812044
11.75,1.5,2,12.805304
11.75,1.75,2,13.051845
11.75,2.0,2,12.772905
11.75,2.25,2,12.971552
11.75,2.5,2,13.151817
11.75,2.75,2,13.05529
11.75,3.0,2,13.180636
11.75,-5.0,3,23.028006
11.75,-4.75,3,23.006998
11.75,-4.5,3,22.581467
11.75,-4.25,3,22.02305
11.75,-4.0,3,22.146847
11.75,-3.75,3,22.014729
11.75,-3.5,3,21.659552
11.75,-3.25,3,20.94008
11.75,-3.0,3,21.566288
11.75,-2.75,3,21.792074
11.75,-2.5,3,21.07485
11.75,-2.25,3,21.023535
11.75,-2.0,3,20.92401
11.75,-1.75,3,20.760513
11.75,-1.5,3,20.76567
11.75,-1.25,3,20.642572
11.75,-1.0,3,20.564562
11.75,-0.75,3,20.946342
11.75,-0.5,3,20.200144
11.75,-0.25,3,19.708075
11.75,0.0,3,19.900858
11.75,0.25,3,19.614525
11.75,0.5,3,19.661312
11.75,0.75,3,19.238842
11.75,1.0,3,19.218088
11.75,1.25,3,19.06108
11.75,1.5,3,18.847853
11.75,1.75,3,18.788315
11.75,2.0,3,18.007055
11.75,2.25,3,17.880163
11.75,2.5,3,17.66124
11.75,2.75,3,17.246487
11.75,3.0,3,17.233742
11.75,-5.0,4,41.89068
11.75,-4.75,4,42.069775
11.75,-4.5,4,41.894455
11.75,-4.25,4,41.12785
11.75,-4.0,4,41.3049
11.75,-3.75,4,41.538223
11.75,-3.5,4,40.93202
11.75,-3.25,4,39.658653
11.75,-3.0,4,39.961517
11.75,-2.75,4,40.43934
11.75,-2.5,4,40.415806
11.75,-2.25,4,40.604736
11.75,-2.0,4,40.451042
11.75,-1.75,4,39.987995
11.75,-1.5,4,39.588264
11.75,-1.25,4,39.36318
11.75,-1.0,4,39.19117
11.75,-0.75,4,39.78761
11.75,-0.5,4,39.467514
11.75,-0.25,4,39.21784
11.75,0.0,4,39.456978
11.75,0.25,4,39.16232
11.75,0.5,4,39.328373
11.75,0.75,4,38.880566
11.75,1.0,4,38.84323
11.75,1.25,4,38.820484
11.75,1.5,4,38.634026
11.75,1.75,4,38.222954
11.75,2.0,4,36.950535
11.75,2.25,4,36.458843
11.75,2.5,4,35.557083
11.75,2.75,4,34.295086
11.75,3.0,4,33.607635
11.75,-5.0,5,58.086025
11.75,-4.75,5,58.57685
11.75,-4.5,5,58.208042
11.75,-4.25,5,56.859776
11.75,-4.0,5,57.21563
11.75,-3.75,5,57.707268
11.75,-3.5,5,57.168816
11.75,-3.25,5,55.955193
11.75,-3.0,5,55.901855
11.75,-2.75,5,56.172886
11.75,-2.5,5,56.52459
11.75,-2.25,5,56.997673
11.75,-2.0,5,56.966167
11.75,-1.75,5,56.524017
11.75,-1.5,5,56.074116
11.75,-1.25,5,55.629097
11.75,-1.0,5,55.009556
11.75,-0.75,5,55.455055
11.75,-0.5,5,55.47242
11.75,-0.25,5,55.533062
11.75,0.0,5,55.936947
11.75,0.25,5,55.84608
11.75,0.5,5,55.999138
11.75,0.75,5,55.48062
11.75,1.0,5,55.269135
11.75,1.25,5,55.28469
11.75,1.5,5,55.75285
11.75,1.75,5,56.002464
11.75,2.0,5,55.40943
11.75,2.25,5,55.584236
11.75,2.5,5,54.872612
11.75,2.75,5,53.426167
11.75,3.0,5,52.747917
11.75,-5.0,6,69.29126
11.75,-4.75,6,69.82997
11.75,-4.5,6,69.39711
11.75,-4.25,6,68.00295
11.75,-4.0,6,68.35068
11.75,-3.75,6,68.71051
11.75,-3.5,6,67.96055
11.75,-3.25,6,67.048744
11.75,-3.0,6,66.74762
11.75,-2.75,6,66.79891
11.75,-2.5,6,67.37866
11.75,-2.25,6,68.1609
11.75,-2.0,6,68.57314
11.75,-1.75,6,68.15519
11.75,-1.5,6,67.98952
11.75,-1.25,6,67.32037
11.75,-1.0,6,66.229385
11.75,-0.75,6,66.44058
11.75,-0.5,6,66.10137
11.75,-0.25,6,66.083405
11.75,0.0,6,66.26743
11.75,0.25,6,66.27145
11.75,0.5,6,66.31222
11.75,0.75,6,65.51689
11.75,1.0,6,65.071205
11.75,1.25,6,64.68819
11.75,1.5,6,65.221344
11.75,1.75,6,65.507614
11.75,2.0,6,65.331604
11.75,2.25,6,66.274864
11.75,2.5,6,66.01726
11.75,2.75,6,64.90477
11.75,3.0,6,64.84525
11.75,-5.0,7,79.089165
11.75,-4.75,7,79.392105
11.75,-4.5,7,79.11101
11.75,-4.25,7,77.94967
11.75,-4.0,7,78.04708
11.75,-3.75,7,78.354164
11.75,-3.5,7,77.8069
11.75,-3.25,7,77.21891
11.75,-3.0,7,76.90269
11.75,-2.75,7,76.90155
11.75,-2.5,7,77.152626
11.75,-2.25,7,77.64597
11.75,-2.0,7,78.12852
11.75,-1.75,7,77.86111
11.75,-1.5,7,77.90858
11.75,-1.25,7,77.16692
11.75,-1.0,7,76.15257
11.75,-0.75,7,76.23968
11.75,-0.5,7,75.76142
11.75,-0.25,7,75.77379
11.75,0.0,7,75.717545
11.75,0.25,7,75.95932
11.75,0.5,7,76.32887
11.75,0.75,7,75.6841
11.75,1.0,7,75.35056
11.75,1.25,7,74.81522
11.75,1.5,7,75.040306
11.75,1.75,7,74.92891
11.75,2.0,7,74.63512
11.75,2.25,7,75.608154
11.75,2.5,7,75.45042
11.75,2.75,7,74.77564
11.75,3.0,7,75.12848
11.75,-5.0,8,83.548355
11.75,-4.75,8,83.7745
11.75,-4.5,8,83.6526
11.75,-4.25,8,82.91804
11.75,-4.0,8,82.96234
11.75,-3.75,8,83.38948
11.75,-3.5,8,83.15411
11.75,-3.25,8,82.8741
11.75,-3.0,8,82.65801
11.75,-2.75,8,82.602974
11.75,-2.5,8,82.874825
11.75,-2.25,8,83.24503
11.75,-2.0,8,83.58663
11.75,-1.75,8,83.487366
11.75,-1.5,8,83.43036
11.75,-1.25,8,82.5971
11.75,-1.0,8,81.8522
11.75,-0.75,8,81.74064
11.75,-0.5,8,81.19889
11.75,-0.25,8,81.42596
11.75,0.0,8,81.50411
11.75,0.25,8,82.04427
11.75,0.5,8,82.609375
11.75,0.75,8,82.15846
11.75,1.0,8,82.11308
11.75,1.25,8,81.85583
11.75,1.5,8,82.08325
11.75,1.75,8,81.96032
11.75,2.0,8,81.76219
11.75,2.25,8,82.32704
11.75,2.5,8,81.89575
11.75,2.75,8,81.362656
11.75,3.0,8,81.49489
11.75,-5.0,9,82.116005
11.75,-4.75,9,82.408066
11.75,-4.5,9,82.225876
11.75,-4.25,9,81.36165
11.75,-4.0,9,81.51838
11.75,-3.75,9,81.96083
11.75,-3.5,9,81.63633
11.75,-3.25,9,81.27528
11.75,-3.0,9,80.95509
11.75,-2.75,9,81.060905
11.75,-2.5,9,81.460464
11.75,-2.25,9,81.83071
11.75,-2.0,9,82.20265
11.75,-1.75,9,82.037346
11.75,-1.5,9,82.019226
11.75,-1.25,9,80.95318
11.75,-1.0,9,80.099205
11.75,-0.75,9,80.07354
11.75,-0.5,9,79.31056
11.75,-0.25,9,79.5557
11.75,0.0,9,79.69664
11.75,0.25,9,80.474915
11.75,0.5,9,81.21922
11.75,0.75,9,80.61098
11.75,1.0,9,80.53128
11.75,1.25,9,80.2102
11.75,1.5,9,80.5003
11.75,1.75,9,80.26105
11.75,2.0,9,79.994125
11.75,2.25,9,80.81114
11.75,2.5,9,80.28575
11.75,2.75,9,79.627815
11.75,3.0,9,79.78879
11.75,-5.0,10,69.83305
11.75,-4.75,10,70.59591
11.75,-4.5,10,69.97025
11.75,-4.25,10,67.440765
11.75,-4.0,10,68.0781
11.75,-3.75,10,68.14915
11.75,-3.5,10,66.14766
11.75,-3.25,10,64.779076
11.75,-3.0,10,63.967365
11.75,-2.75,10,64.43255
11.75,-2.5,10,65.74654
11.75,-2.25,10,66.09711
11.75,-2.0,10,66.58873
11.75,-1.75,10,66.20306
11.75,-1.5,10,66.52603
11.75,-1.25,10,65.89093
11.75,-1.0,10,64.387985
11.75,-0.75,10,65.28798
11.75,-0.5,10,64.48498
11.75,-0.25,10,63.905243
11.75,0.0,10,63.486507
11.75,0.25,10,63.29106
11.75,0.5,10,63.763775
11.75,0.75,10,62.388042
11.75,1.0,10,62.07746
11.75,1.25,10,61.87408
11.75,1.5,10,62.385735
11.75,1.75,10,61.501022
11.75,2.0,10,60.092705
11.75,2.25,10,61.51954
11.75,2.5,10,60.26727
11.75,2.75,10,58.911488
11.75,3.0,10,59.95208
11.75,-5.0,11,37.441307
11.75,-4.75,11,37.476894
11.75,-4.5,11,35.721752
11.75,-4.25,11,34.023357
11.75,-4.0,11,35.52963
11.75,-3.75,11,34.612835
11.75,-3.5,11,32.303963
11.75,-3.25,11,30.963324
11.75,-3.0,11,32.152267
11.75,-2.75,11,33.44901
11.75,-2.5,11,33.263844
11.75,-2.25,11,33.19107
11.75,-2.0,11,33.249573
11.75,-1.75,11,32.956554
11.75,-1.5,11,32.969395
11.75,-1.25,11,32.574226
11.75,-1.0,11,32.063942
11.75,-0.75,11,32.762882
11.75,-0.5,11,31.148043
11.75,-0.25,11,29.662247
11.75,0.0,11,29.417192
11.75,0.25,11,28.717564
11.75,0.5,11,28.36399
11.75,0.75,11,27.082186
11.75,1.0,11,27.157066
11.75,1.25,11,27.325567
11.75,1.5,11,27.551321
11.75,1.75,11,27.526419
11.75,2.0,11,26.629822
11.75,2.25,11,27.603582
11.75,2.5,11,27.336443
11.75,2.75,11,27.210344
11.75,3.0,11,28.53549
11.75,-5.0,12,23.614477
11.75,-4.75,12,23.455223
11.75,-4.5,12,22.202047
11.75,-4.25,12,21.634178
11.75,-4.0,12,22.563303
11.75,-3.75,12,21.91811
11.75,-3.5,12,21.12433
11.75,-3.25,12,20.594198
11.75,-3.0,12,22.404554
11.75,-2.75,12,22.90981
11.75,-2.5,12,21.199656
11.75,-2.25,12,21.2479
11.75,-2.0,12,21.57663
11.75,-1.75,12,21.71055
11.75,-1.5,12,21.972816
11.75,-1.25,12,21.714342
11.75,-1.0,12,21.543858
11.75,-0.75,12,21.720713
11.75,-0.5,12,20.275816
11.75,-0.25,12,19.22546
11.75,0.0,12,19.300089
11.75,0.25,12,18.846048
11.75,0.5,12,18.56901
11.75,0.75,12,17.8248
11.75,1.0,12,17.790127
11.75,1.25,12,17.848877
11.75,1.5,12,18.08428
11.75,1.75,12,18.454361
11.75,2.0,12,18.09716
11.75,2.25,12,18.765879
11.75,2.5,12,19.15216
11.75,2.75,12,19.430243
11.75,3.0,12,20.180214
11.5,-5.0,1,20.414602
11.5,-4.75,1,20.024244
11.5,-4.5,1,19.166777
11.5,-4.25,1,18.706722
11.5,-4.0,1,18.66161
11.5,-3.75,1,17.982382
11.5,-3.5,1,17.749474
11.5,-3.25,1,17.441114
11.5,-3.0,1,18.51893
11.5,-2.75,1,18.457523
11.5,-2.5,1,17.437763
11.5,-2.25,1,17.533304
11.5,-2.0,1,17.637577
11.5,-1.75,1,17.787437
11.5,-1.5,1,17.901834
11.5,-1.25,1,17.719894
11.5,-1.0,1,17.85884
11.5,-0.75,1,18.27799
11.5,-0.5,1,16.668087
11.5,-0.25,1,15.769649
11.5,0.0,1,15.985978
11.5,0.25,1,15.55724
11.5,0.5,1,15.686699
11.5,0.75,1,15.038058
11.5,1.0,1,15.193584
11.5,1.25,1,15.421684
11.5,1.5,1,15.323258
11.5,1.75,1,15.658638
11.5,2.0,1,15.613493
11.5,2.25,1,16.178354
11.5,2.5,1,16.143871
11.5,2.75,1,16.389307
11.5,3.0,1,16.861794
11.5,-5.0,2,17.329187
11.5,-4.75,2,17.01216
11.5,-4.5,2,16.46906
11.5,-4.25,2,16.219925
11.5,-4.0,2,16.225271
11.5,-3.75,2,15.815616
11.5,-3.5,2,15.662275
11.5,-3.25,2,15.371
11.5,-3.0,2,16.088541
